"n_captures","n_fetch_success","n_redirects","crawl","redirects"
"604440","361009","0","CC-MAIN-2016-36","0"
"28303","22233","0","CC-MAIN-2016-36","1"
"1172","959","0","CC-MAIN-2016-36","2"
"14","11","0","CC-MAIN-2016-36","3"
"8","6","0","CC-MAIN-2016-36","4"
"3","3","0","CC-MAIN-2016-36","5"
"717829","417576","0","CC-MAIN-2017-09","0"
"615175","296869","0","CC-MAIN-2017-34","0"
"807732","356548","0","CC-MAIN-2018-09","0"
"980026","401300","0","CC-MAIN-2018-34","0"
"1033590","428322","0","CC-MAIN-2019-09","0"
"864256","415165","0","CC-MAIN-2019-35","0"
"779791","401925","233976","CC-MAIN-2020-05","0"
"231622","166809","36010","CC-MAIN-2020-05","1"
"25376","19388","2261","CC-MAIN-2020-05","2"
"1084","718","202","CC-MAIN-2020-05","3"
"148","103","24","CC-MAIN-2020-05","4"
"55","32","8","CC-MAIN-2020-05","5"
"838228","418257","267003","CC-MAIN-2020-10","0"
"247057","175798","40478","CC-MAIN-2020-10","1"
"27444","20896","2564","CC-MAIN-2020-10","2"
"1203","771","249","CC-MAIN-2020-10","3"
"166","118","29","CC-MAIN-2020-10","4"
"63","36","15","CC-MAIN-2020-10","5"
"815695","414499","250201","CC-MAIN-2020-16","0"
"252174","179781","41223","CC-MAIN-2020-16","1"
"29048","21975","2776","CC-MAIN-2020-16","2"
"1296","835","275","CC-MAIN-2020-16","3"
"192","131","33","CC-MAIN-2020-16","4"
"51","29","14","CC-MAIN-2020-16","5"
"834471","425400","256835","CC-MAIN-2020-24","0"
"260162","185333","43066","CC-MAIN-2020-24","1"
"30498","23047","3037","CC-MAIN-2020-24","2"
"1360","843","318","CC-MAIN-2020-24","3"
"211","136","45","CC-MAIN-2020-24","4"
"73","45","17","CC-MAIN-2020-24","5"
"861518","436750","276039","CC-MAIN-2020-29","0"
"268827","190607","46271","CC-MAIN-2020-29","1"
"31975","24139","3306","CC-MAIN-2020-29","2"
"1498","932","356","CC-MAIN-2020-29","3"
"264","157","77","CC-MAIN-2020-29","4"
"94","52","26","CC-MAIN-2020-29","5"
"886425","444351","290214","CC-MAIN-2020-34","0"
"212565","152483","34710","CC-MAIN-2020-34","1"
"22304","16986","2129","CC-MAIN-2020-34","2"
