"n_captures","n_fetch_success","n_redirects","crawl"
"604440","361009","0","CC-MAIN-2016-36"
"717829","417576","0","CC-MAIN-2017-09"
"615175","296869","0","CC-MAIN-2017-34"
"807732","356548","0","CC-MAIN-2018-09"
"980026","401300","0","CC-MAIN-2018-34"
"1033590","428322","0","CC-MAIN-2019-09"
"864256","415165","0","CC-MAIN-2019-35"
"779791","401925","233976","CC-MAIN-2020-05"
"838228","418257","267003","CC-MAIN-2020-10"
"815695","414499","250201","CC-MAIN-2020-16"
"834471","425400","256835","CC-MAIN-2020-24"
"861518","436750","276039","CC-MAIN-2020-29"
"886425","444351","290214","CC-MAIN-2020-34"
"868762","436470","280061","CC-MAIN-2020-40"
"874556","438027","286536","CC-MAIN-2020-45"
"856447","433068","275934","CC-MAIN-2020-50"
"885046","443009","290932","CC-MAIN-2021-04"
"871195","438473","286301","CC-MAIN-2021-10"
"842127","438346","250042","CC-MAIN-2021-17"
"879204","454264","257345","CC-MAIN-2021-21"
"860944","449588","250327","CC-MAIN-2021-25"
"820081","430824","224373","CC-MAIN-2021-31"
"903345","447653","283900","CC-MAIN-2021-39"
"897177","448535","271032","CC-MAIN-2021-43"
"920685","455387","284522","CC-MAIN-2021-49"
"846882","438863","248346","CC-MAIN-2022-05"
"905182","448126","279840","CC-MAIN-2022-21"
"911159","452300","280727","CC-MAIN-2022-27"
"963079","463452","316060","CC-MAIN-2022-33"
"856350","431717","254401","CC-MAIN-2022-40"
"955297","448246","322558","CC-MAIN-2022-49"
"857983","431754","251760","CC-MAIN-2023-06"
"840379","424464","245446","CC-MAIN-2023-14"
"870867","429977","261314","CC-MAIN-2023-23"
"891105","423845","276311","CC-MAIN-2023-40"
"1018455","475464","334009","CC-MAIN-2023-50"
"1029607","487541","322468","CC-MAIN-2024-10"
"966000","480105","290734","CC-MAIN-2024-18"
"974713","462090","308616","CC-MAIN-2024-22"
"968837","467293","296591","CC-MAIN-2024-26"
"968104","473532","289039","CC-MAIN-2024-30"
"926955","459297","268844","CC-MAIN-2024-33"
"917737","440704","278471","CC-MAIN-2024-38"
"911627","438374","281152","CC-MAIN-2024-42"
"890426","429475","268462","CC-MAIN-2024-46"
"898395","433569","268011","CC-MAIN-2024-51"
"925873","433646","287704","CC-MAIN-2025-05"
"985287","448644","309692","CC-MAIN-2025-08"
